away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Hunter Brown,Houston Astros,Roof Closed,2023-07-01,2,5,0,0,0,717542,Nathan Eovaldi,Texas Rangers,74,Globe Life Field,"0 mph, None"
Bailey Ober,Minnesota Twins,Overcast,2023-07-01,1,0,0,0,0,717541,Kyle Bradish,Baltimore Orioles,81,Oriole Park at Camden Yards,"6 mph, Out To LF"
MacKenzie Gore,Washington Nationals,Partly Cloudy,2023-07-01,4,19,0,0,0,717543,Zack Wheeler,Philadelphia Phillies,86,Citizens Bank Park,"11 mph, Out To CF"
Corbin Burnes,Milwaukee Brewers,Cloudy,2023-07-01,11,8,1,1,0,717540,Johan Oviedo,Pittsburgh Pirates,80,PNC Park,"7 mph, R To L"
Dylan Cease,Chicago White Sox,Sunny,2023-07-01,6,7,1,0,1,717538,Kyle Muller,Oakland Athletics,81,Oakland Coliseum,"6 mph, Out To RF"
Anthony DeSclafani,San Francisco Giants,Sunny,2023-07-01,1,4,0,0,0,717535,Justin Verlander,New York Mets,80,Citi Field,"11 mph, Out To LF"
Eury Pérez,Miami Marlins,Sunny,2023-07-01,0,7,1,0,6,717536,Charlie Morton,Atlanta Braves,95,Truist Park,"7 mph, R To L"
Tanner Bibee,Cleveland Guardians,Overcast,2023-07-01,6,0,0,0,0,717546,Marcus Stroman,Chicago Cubs,73,Wrigley Field,"2 mph, In From RF"
Julio Urías,Los Angeles Dodgers,Clear,2023-07-01,4,6,1,0,5,717537,Daniel Lynch IV,Kansas City Royals,75,Kauffman Stadium,"14 mph, L To R"
Tyler Glasnow,Tampa Bay Rays,Sunny,2023-07-01,3,8,0,0,0,717534,George Kirby,Seattle Mariners,76,T-Mobile Park,"2 mph, Out To CF"
Brendan White,Detroit Tigers,Partly Cloudy,2023-07-01,4,2,0,0,0,717544,Peter Lambert,Colorado Rockies,79,Coors Field,"4 mph, Out To LF"
Ryne Nelson,Arizona Diamondbacks,Clear,2023-07-01,3,1,0,0,0,717533,Tyler Anderson,Los Angeles Angels,69,Angel Stadium,"11 mph, Out To LF"
Sonny Gray,Minnesota Twins,Cloudy,2023-07-02,1,2,0,0,0,717529,Cole Irvin,Baltimore Orioles,84,Oriole Park at Camden Yards,"2 mph, Out To LF"
Trevor Williams,Washington Nationals,Partly Cloudy,2023-07-02,5,4,1,0,3,717528,Ranger Suárez,Philadelphia Phillies,87,Citizens Bank Park,"7 mph, Out To CF"
Sandy Alcantara,Miami Marlins,Partly Cloudy,2023-07-02,3,6,0,0,0,717532,Spencer Strider,Atlanta Braves,89,Truist Park,"6 mph, R To L"
Colin Rea,Milwaukee Brewers,Drizzle,2023-07-02,6,3,0,0,0,717531,Rich Hill,Pittsburgh Pirates,73,PNC Park,"11 mph, R To L"
Garrett Whitlock,Boston Red Sox,Roof Closed,2023-07-02,5,4,1,1,1,717530,Kevin Gausman,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Adrian Morejon,San Diego Padres,Partly Cloudy,2023-07-02,3,4,0,0,0,717526,Andrew Abbott,Cincinnati Reds,82,Great American Ball Park,"13 mph, R To L"
